Pop-Up Number,Drop Date,Drop Time,Time Zone,Site,Latitude,Longitude
172,3/8/10,16:50:30,EST,1,42.0192,-70.3046
145,3/8/10,17:41:30,EST,2,41.9926,-70.2198
54,3/8/10,10:12:16,EST,3,41.9334,-70.1866
168,3/8/10,11:55:33,EST,4,41.8777,-70.2535
153,3/8/10,12:47:50,EST,5,41.8766,-70.3406
134,3/8/10,14:47:30,EST,6,41.9506,-70.3881
160,3/8/10,9:22:58,EST,7,41.9416,-70.2871
162,3/8/10,16:15:20,EST,8,42.026,-70.4047
182,3/8/10,14:03:15,EST,9,41.8945,-70.4441
66,3/8/10,15:18:10,EST,10,41.9708,-70.4764
