ID Selection	View	Channel	BeginTimes	EndTimes	LowFreqHz	HighFreqHz	Notes
1	Spectrogram 1	10	2951.549553801	2953.444906219	66.100	253.400	?
2	Spectrogram 1	10	3094.293782823	3096.189135242	96.400	231.400	?
3	Spectrogram 1	10	3101.164435341	3102.822868707	90.900	181.800	?
4	Spectrogram 1	10	3123.790704837	3125.330678677	82.600	168.000	?
5	Spectrogram 1	10	3218.202947187	3220.216759131	96.400	201.100	?
6	Spectrogram 1	10	4113.524045903	4116.367074531	79.900	173.600	
7	Spectrogram 1	10	4153.089527641	4155.103339585	90.900	168.000	
8	Spectrogram 1	10	4189.456602172	4191.233495064	82.600	151.500	?
9	Spectrogram 1	10	4952.102531589	4954.590181639	93.700	176.300	
10	Spectrogram 1	10	4956.603993583	4958.736265054	88.200	179.100	
11	Spectrogram 1	10	5804.540781836	5807.146891412	44.100	198.300	?
12	Spectrogram 1	10	6200.197099210	6201.973992103	115.700	209.400	?
13	Spectrogram 1	10	6249.002923988	6251.016735933	112.900	217.600	?
14	Spectrogram 1	10	6361.658433366	6363.553785785	79.900	173.600	
15	Spectrogram 1	10	6421.835872655	6424.205063179	88.200	231.400	
16	Spectrogram 1	10	6473.721145114	6476.208795163	79.900	250.700	
17	Spectrogram 1	10	6518.262426950	6520.276238894	82.600	264.500	
18	Spectrogram 1	10	6690.503077986	6692.398430405	79.900	154.300	?
19	Spectrogram 1	10	6695.478378085	6696.899892399	82.600	157.000	
20	Spectrogram 1	10	6769.753000987	6771.174515301	107.400	247.900	
21	Spectrogram 1	10	6797.354070582	6799.249423001	68.900	198.300	
22	Spectrogram 1	10	6842.724569102	6845.212219151	90.900	176.300	
23	Spectrogram 1	10	6847.936788253	6850.069059724	85.400	270.000	
24	Spectrogram 1	10	6851.490574038	6853.741305035	99.200	206.600	
25	Spectrogram 1	10	6862.033471866	6864.284202863	79.900	203.900	
26	Spectrogram 1	10	6909.298822804	6911.075715696	79.900	245.200	
27	Spectrogram 1	10	6925.527777887	6927.896968411	82.600	179.100	
28	Spectrogram 1	10	6950.404278381	6952.655009378	101.900	201.100	?
29	Spectrogram 1	10	6963.435326259	6964.975300099	85.400	162.500	
30	Spectrogram 1	10	6976.228955084	6977.768928924	79.900	135.000	?
31	Spectrogram 1	10	7003.119267522	7005.606917572	77.100	206.600	
32	Spectrogram 1	10	7013.425246298	7015.557517769	74.400	165.300	
33	Spectrogram 1	10	7018.282086871	7020.414358342	85.400	214.900	
34	Spectrogram 1	10	7094.925900296	7097.058171767	77.100	212.100	
35	Spectrogram 1	10	7130.463758144	7132.714489141	74.400	159.800	
36	Spectrogram 1	10	7138.755924975	7140.769736920	107.400	228.700	
37	Spectrogram 1	10	7147.048091807	7148.943444225	77.100	154.300	
38	Spectrogram 1	10	7154.274122902	7156.169475321	112.900	220.400	
39	Spectrogram 1	10	7200.000000000	7201.184595262	101.900	190.100	
40	Spectrogram 1	10	7201.776892892	7203.790704837	99.200	187.300	
41	Spectrogram 1	10	7220.493498026	7222.033471866	66.100	151.500	
